Frame, Time (ms), Delta (ms) , Memory (mb)
  276,1313.151, 4.664,5765
  277,1317.902, 4.751,5765
  278,1322.602, 4.700,5765
  279,1327.248, 4.646,5765
  280,1331.794, 4.546,5765
  281,1336.436, 4.642,5765
  282,1340.997, 4.561,5765
  283,1345.748, 4.751,5765
  284,1350.325, 4.577,5765
  285,1354.917, 4.592,5765
  286,1359.589, 4.672,5765
  287,1364.615, 5.026,5765
  288,1369.043, 4.428,5765
  289,1373.637, 4.594,5765
  290,1378.255, 4.618,5765
  291,1382.899, 4.644,5765
  292,1387.607, 4.708,5765
  293,1392.222, 4.615,5765
  294,1396.923, 4.701,5765
  295,1401.592, 4.669,5765
  296,1406.221, 4.629,5765
  297,1410.829, 4.608,5765
  298,1415.498, 4.669,5765
  299,1420.080, 4.582,5765
  300,1424.750, 4.670,5765
  301,1429.631, 4.881,5765
  302,1434.210, 4.579,5765
  303,1438.759, 4.549,5765
  304,1443.321, 4.562,5765
  305,1448.046, 4.725,5765
  306,1452.654, 4.608,5765
  307,1457.406, 4.752,5765
  308,1461.961, 4.555,5765
  309,1466.626, 4.665,5765
  310,1471.229, 4.603,5765
  311,1476.000, 4.771,5765
  312,1480.710, 4.710,5765
  313,1485.226, 4.516,5765
  314,1489.739, 4.513,5765
  315,1494.356, 4.617,5765
  316,1499.066, 4.710,5765
  317,1503.809, 4.743,5765
  318,1508.275, 4.466,5765
  319,1512.933, 4.658,5765
  320,1517.592, 4.659,5765
  321,1522.293, 4.701,5765
  322,1526.877, 4.584,5765
  323,1531.449, 4.572,5765
  324,1536.030, 4.581,5765
  325,1540.605, 4.575,5765
  326,1545.148, 4.543,5765
  327,1549.839, 4.691,5765
  328,1554.352, 4.513,5765
  329,1558.966, 4.614,5765
  330,1563.544, 4.578,5765
  331,1568.221, 4.677,5765
  332,1572.893, 4.672,5765
  333,1577.323, 4.430,5765
  334,1581.992, 4.669,5765
  335,1586.624, 4.632,5765
  336,1591.228, 4.604,5765
  337,1595.750, 4.522,5765
  338,1600.306, 4.556,5765
  339,1605.071, 4.765,5765
  340,1609.541, 4.470,5765
  341,1614.133, 4.592,5765
  342,1618.689, 4.556,5765
  343,1623.336, 4.647,5765
  344,1627.945, 4.609,5765
  345,1632.553, 4.608,5765
  346,1637.124, 4.571,5765
  347,1641.821, 4.697,5765
  348,1646.350, 4.529,5765
  349,1650.990, 4.640,5765
  350,1655.559, 4.569,5765
  351,1660.169, 4.610,5765
  352,1664.780, 4.611,5765
  353,1669.370, 4.590,5765
  354,1673.840, 4.470,5765
  355,1678.528, 4.688,5765
  356,1683.007, 4.479,5765
  357,1687.699, 4.692,5765
  358,1692.096, 4.397,5765
  359,1696.688, 4.592,5765
  360,1701.260, 4.572,5765
  361,1706.023, 4.763,5765
  362,1710.475, 4.452,5765
  363,1715.424, 4.949,5765
  364,1719.869, 4.445,5765
  365,1724.692, 4.823,5765
  366,1729.083, 4.391,5765
  367,1733.705, 4.622,5765
  368,1738.397, 4.692,5765
  369,1743.057, 4.660,5765
  370,1747.572, 4.515,5765
  371,1752.105, 4.533,5765
  372,1756.638, 4.533,5765
  373,1761.245, 4.607,5765
  374,1765.784, 4.539,5765
  375,1770.378, 4.594,5765
  376,1774.973, 4.595,5765
  377,1779.560, 4.587,5765
  378,1784.152, 4.592,5765
  379,1788.773, 4.621,5765
  380,1793.420, 4.647,5765
  381,1798.024, 4.604,5765
  382,1802.595, 4.571,5765
  383,1807.141, 4.546,5765
  384,1811.616, 4.475,5765
  385,1816.255, 4.639,5765
  386,1820.833, 4.578,5765
  387,1825.533, 4.700,5765
  388,1829.965, 4.432,5765
  389,1834.596, 4.631,5765
  390,1839.182, 4.586,5765
  391,1843.779, 4.597,5765
  392,1848.403, 4.624,5765
  393,1853.385, 4.982,5765
  394,1858.228, 4.843,5765
  395,1862.758, 4.530,5765
  396,1867.314, 4.556,5765
  397,1872.215, 4.901,5765
  398,1876.486, 4.271,5765
  399,1880.991, 4.505,5765
  400,1885.514, 4.523,5765
  401,1890.058, 4.544,5765
  402,1894.639, 4.581,5765
  403,1899.152, 4.513,5765
  404,1903.632, 4.480,5765
  405,1908.286, 4.654,5765
  406,1912.904, 4.618,5765
  407,1917.534, 4.630,5765
