TimeInSeconds,FrameTimeMs,FPS
5.20870,8.99,111.21
5.21769,8.81,113.54
5.22650,8.99,111.26
5.23549,9.99,100.08
5.24548,9.19,108.77
5.25467,8.82,113.38
5.26349,8.84,113.14
5.27233,10.32,96.94
5.28265,8.97,111.52
5.29161,8.57,116.68
5.30018,9.72,102.86
5.30991,8.73,114.54
5.31864,8.91,112.18
5.32755,9.10,109.92
5.33665,8.98,111.41
5.34562,8.92,112.06
5.35455,8.92,112.06
5.36347,9.53,104.92
5.37300,9.65,103.63
5.38265,9.33,107.16
5.39198,8.97,111.54
5.40095,8.62,115.96
5.40957,9.05,110.49
5.41862,10.00,100.00
5.42862,8.99,111.26
5.43761,8.77,114.08
5.44638,9.28,107.77
5.45566,9.14,109.38
5.46480,10.03,99.71
5.47483,9.24,108.19
5.48407,9.03,110.72
5.49310,8.65,115.65
5.50175,9.06,110.39
5.51081,33.35,29.98
5.54416,4.71,212.53
5.54887,7.96,125.70
5.55682,8.96,111.59
5.56578,9.06,110.41
5.57484,8.99,111.25
5.58383,8.41,118.86
5.59224,9.48,105.45
5.60173,9.20,108.71
5.61092,10.23,97.80
5.62115,8.75,114.27
5.62990,8.90,112.33
5.63880,9.06,110.43
5.64786,9.16,109.16
5.65702,10.17,98.29
5.66719,8.96,111.65
5.67615,9.17,109.00
5.68532,8.81,113.53
5.69413,9.68,103.28
5.70381,9.02,110.84
5.71284,10.12,98.84
5.72295,9.08,110.08
5.73204,9.08,110.18
5.74112,9.67,103.36
5.75079,10.35,96.59
5.76114,8.92,112.09
5.77006,9.47,105.57
5.77954,8.84,113.11
5.78838,9.60,104.20
5.79797,8.93,111.99
5.80690,10.06,99.43
5.81696,8.99,111.23
5.82595,9.15,109.29
5.83510,10.00,100.04
5.84510,11.42,87.57
5.85652,8.90,112.30
5.86542,9.49,105.35
5.87491,8.45,118.29
5.88337,9.97,100.25
5.89334,9.87,101.31
5.90321,10.03,99.67
5.91325,9.16,109.15
5.92241,10.15,98.56
5.93255,8.95,111.77
5.94150,11.08,90.26
5.95258,9.06,110.40
5.96164,8.99,111.29
5.97062,9.89,101.14
5.98051,9.58,104.36
5.99009,9.50,105.25
5.99959,10.12,98.86
6.00971,9.93,100.72
6.01964,8.70,114.91
6.02834,9.80,102.00
6.03815,9.45,105.79
6.04760,10.79,92.67
6.05839,9.43,106.02
6.06782,10.93,91.46
6.07876,7.63,131.09
6.08638,10.94,91.44
6.09732,9.09,110.05
6.10641,10.13,98.74
6.11653,9.96,100.42
6.12649,9.01,110.96
6.13550,10.91,91.66
6.14641,9.20,108.66
6.15562,10.13,98.75
6.16574,9.94,100.56
6.17569,8.93,111.98
6.18462,10.88,91.91
6.19550,9.94,100.57
6.20544,9.18,108.93
6.21462,9.88,101.23
6.22450,10.05,99.53
6.23455,11.09,90.14
6.24564,10.07,99.29
6.25571,10.22,97.85
6.26593,8.91,112.23
6.27484,10.77,92.84
6.28561,9.96,100.38
6.29558,10.07,99.27
6.30565,10.03,99.65
6.31569,8.94,111.88
